Name,Type,Description,Properties,Can be used for,HAIR / SKIN TYPE,
Rosewood essential oil,Essential oil,"Great toner, perfect for daily skin care.","- Efficient tissue regenerator
- Soothing, antiseptic, astringent,
- Antibacterial, antifungal,
- Skin firming.","FACE CREAM
FACE MASK
BODY CREAM
SHOWER GEL","REGULAR SKIN
ACNEIC SKIN
MATURE SKIN
SAGGING SKIN / CELLULITE
DRY SKIN
COMBINATION SKIN
OILY SKIN
ECZEMA
PSORIASIS
SCARS / STRETCH MARKS",
Essential oil of chamomile,Essential oil,"Good for all skin types. Well-known for its calming properties, it also is a great anti-inflammatory.","-  Anti-inflammatory
-  Anti-allergic, soothes itching
-  Healing
-  Decongestant
- Antispasmodic","FACE CREAM
FACE MASK
BODY CREAM
SHOWER GEL","SENSITIVE SKIN
ACNEIC SKIN
ECZEMA
DRY SKIN
COMBINATION SKIN
OILY SKIN
REGULAR SKIN
PSORIASIS
SCARS / STRETCH MARKS
","
"
Essential oil of frankinsense,Essential oil,"Immune stimulant and anti-depressive, this essential oil is a great toner. With its warm balsamic and resinous smell, it also has good calming and relaxing properties.","- Healing 
- Skin firming
- Stabilizes sebum secretion
- Prevents the emergence of wrinkles.","SHAMPOO
FACE CREAM
HAIR MASK
","MATURE SKIN
OILY SKIN
DANDRUFF
SAGGING SKIN / CELLULITE
OILY HAIR
",
Geranium essential oil,Essential oil,Versatile oil ideal for cosmetics.,"- Antispasmodic, relaxing
- Tonic, astringent,
- Anti-inflammatory, antibacterial, antifungal,
- Stimulates blood circulation,
- Healing,
- Stabilizes sebum secretion","FACE CREAM
FACE MASK
BODY CREAM
SHOWER GEL
SHAMPOO



HAIR MASK
","COMBINATION SKIN
DRY SKIN
MATURE SKIN
ECZEMA
PSORIASIS
ACNEIC SKIN
OILY SKIN
REGULAR SKIN
SCARS / STRETCH MARKS
OILY HAIR
",
Lavender essential oil,Essential oil,"Very efficient in calming sunburns, irritations, and fighting lice.","- Healing and powerful dermal regenerator
- Purifying agent
- Soothing
- Antiseptic","BODY CREAM
SHOWER GEL
SHAMPOO
HAIR MASK
","REGULAR SKIN
ACNEIC SKIN
ECZEMA
PSORIASIS
SCARS / STRETCH MARKS
DRY SKIN
COMBINATION SKIN
OILY SKIN
REGULAR HAIR
DANDRUFF
",
Tea tree essential oil,Essential oil,"This immune stimulant essential oil can also be used to help preserve your products, thanks to its bactericide properties.","- Anti-fungal,
- Disinfectant and purifying,
- Antiseptic, tones and cleanses the skin and the scalp","TOOTHPASTE
BODY CREAM
SHAMPOO
","ACNEIC SKIN
ECZEMA
DANDRUFF
",
Rosemary essential oil,Essential oil,Excellent tonic for the brain and for concentration it also regenerates the skin and the hair.,"- Powerful astringent, restores elasticity to sagging skins,
- Antibacterial, anti-fungal,
- Boosts hair growth","BODY CREAM
SHOWER GEL
SHAMPOO
CONDITIONER
HAIR MASK
","OILY SKIN
MATURE SKIN
SAGGING SKIN / CELLULITE
DANDRUFF
OILY HAIR
",
Essential oil of Ylang Ylang,Essential oil,"This oil fights physical and mental fatigue, and is a great aphrodisiac. Soothes breathing and cardiac rhythms.","
- Cell regenerator
- Antiseptic,
- Stabilizes sebum secretion
- Prevents hair loss","FACE CREAM
BODY CREAM
SHOWER GEL
SHAMPOO
CONDITIONER
HAIR MASK
","REGULAR SKIN
DRY SKIN
COMBINATION SKIN
OILY SKIN
MATURE SKIN
REGULAR HAIR
OILY HAIR
DRY HAIR
",
Sweet almond oil,Vegetable oil,"This very sweet oil, is pleasant to apply for it leaves a velvet sensation and a soft and smooth skin. ","- Nourishes hair and skin and prevents from dryness
- Fortifying, activates hair and skin repair
- Soothes itching and irritations
- Prevents from stretchmarks
- Helps fight dandruff","FACE CREAM
BODY CREAM
SHOWER GEL
SHAMPOO
HAIR MASK
CONDITIONER
","DANDRUFF
REGULAR SKIN
DRY SKIN
COMBINATION SKIN
OILY SKIN
REGULAR HAIR
OILY HAIR
DRY HAIR
",
Shea butter,Vegetable oil,This butter nourishes and softens dry and dehydrated skins. It protects against the sun and other external aggressions. ,"- Protects from sun aggression and prolongs tanning.
- Anti-inflammatory
- Healing
- Deeply hydrates and nourishes the skin
- Tissue regenerator, brings elasticity to the skin","BODY CREAM
HAIR MASK
","REGULAR SKIN
DRY SKIN
SAGGING SKIN / CELLULITE
SCARS / STRETCH MARKS
DRY HAIR
",
Coconut oil,Vegetable oil,"With its pleasant scent, coconut oil is a must-have for your shelf. It is best to chose it organic, cold-pressed and non-hydrogenated. It will solidifies below 25°C (77°F). If your skin is oily, don’t apply it on your face.","- Highly nourishing,
- Antioxidant,
- Healing,
- Softening,
- Brings smoothness to your soap","TOOTHPASTE
FACE CREAM
FACE MASK
MAKE-UP REMOVER
BODY CREAM
SCRUB
SHOWER GEL
SHAMPOO
CONDITIONER
HAIR MASK
","REGULAR SKIN
DRY SKIN
COMBINATION SKIN
ACNEIC SKIN
MATURE SKIN
SAGGING SKIN / CELLULITE
ECZEMA
PSORIASIS
SCARS / STRETCH MARKS
REGULAR HAIR
DRY HAIR
OILY SKIN
",
Jojoba oil,Vegetable oil,Its properties are outstanding. It boosts the skin elastin and collagen synthesis. It is suitable for sensitive skins. It penetrates deeply into the skin without leaving an oily film.,"- Prevents from dehydration
- Nourishing
- Calming and soothing
- Healing and protecting,  
- Anti-aging and regenerating
- Skin toner
- Stabilizes sebum secretion
- Prevents from hair loss","FACE CREAM
FACE MASK
MAKE-UP REMOVER
BODY CREAM
SCRUB
SHOWER GEL
SHAMPOO
CONDITIONER
HAIR MASK
","REGULAR SKIN
DRY SKIN
COMBINATION SKIN
OILY SKIN
MATURE SKIN
SAGGING SKIN / CELLULITE
SCARS / STRETCH MARKS
REGULAR HAIR
OILY HAIR
DRY HAIR
",
